ID,AFFECTED_VERSION,CNNVD_ID,CVE_ID,PATCHES,PATCHES_LINKS,TITLE,LEVEL,vun_type,URL,Update_Time
1,Apache Hive:2.3.3 ,CNNVD-201811-204,CVE-2018-11777,Apache Hive HiveServer2 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=86676 ,Apache Hive HiveServer2 安全漏洞,中危,Apache Hive,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201811-204,2018-11-09
2,Apache Hive:2.3.3 ,CNNVD-201811-203,CVE-2018-1314,Apache Hive 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=86675 ,Apache Hive 安全漏洞,中危,Apache Hive,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201811-203,2018-11-09
3,Apache Hive:2.3.0 Apache Hive:2.2.0 Apache Hive:2.1.1 Apache Hive:2.1.0 Apache Hive:1.2.1 ,CNNVD-201804-274,CVE-2018-1282,Apache Hive JDBC驱动程序SQL注入漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=83106 ,Apache Hive JDBC驱动程序SQL注入漏洞,高危,Apache Hive,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201804-274,2018-06-25
4,Apache Hive:2.3.0 Apache Hive:2.2.0 Apache Hive:2.1.1 Apache Hive:2.1.0 Apache Hive:1.2.1 ,CNNVD-201804-273,CVE-2018-1284,Apache Hive 信息泄露漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=83105 ,Apache Hive 信息泄露漏洞,中危,Apache Hive,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201804-273,2018-06-25
5,Apache Hive:2.1.0 Apache Hive:2.1.1 Apache Hive:2.2.0 Apache Hive:2.3.0 ,CNNVD-201804-272,CVE-2018-1315,Apache Hive 安全特征问题漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=83104 ,Apache Hive 安全特征问题漏洞,中危,Apache Hive,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201804-272,2018-06-25
6,Apache Hive:2.3.0 Apache Hive:2.2.0 Apache Hive:2.1.1 Apache Hive:2.1.0 ,CNNVD-201711-039,CVE-2017-12625,Apache Hive 信息泄露漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=76115 ,Apache Hive 信息泄露漏洞,中危,Apache Hive,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201711-039,2017-11-06
7,Apache Hive:1.2.1 Apache Hive:1.2.0 Apache Hive:1.0.1 Apache Hive:1.1.0 Apache Hive:1.0.0 ,CNNVD-201705-1278,CVE-2016-3083,Apache Hive 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=70593 ,Apache Hive 安全漏洞,中危,Apache Hive,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201705-1278,2017-06-07
8,Apache Hive:1.0.0 Apache Hive:1.0.1 Apache Hive:1.2.0 Apache Hive:1.1.0 Apache Hive:1.2.1 ,CNNVD-201601-677,CVE-2015-7521,Apache Hive authorization框架安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=59983 ,Apache Hive authorization框架安全漏洞,高危,Apache Hive,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201601-677,2016-02-01
9,Ibm Infosphere_biginsights:3.0.0.2 Ibm Infosphere_biginsights:3.0.0.1 Ibm Infosphere_biginsights:3.0.0.0 ,CNNVD-201512-554,CVE-2015-1772,Apache Hive HiveServer2接口授权问题漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=59321 ,Apache Hive HiveServer2接口授权问题漏洞,中危,Apache Hive,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201512-554,2015-12-24
10,Apache Hive:0.13.0 ,CNNVD-201406-646,CVE-2014-0228,,,Apache Hive 安全绕过漏洞,低危,Apache Hive,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201406-646,2014-11-17
