ID,AFFECTED_VERSION,CNNVD_ID,CVE_ID,PATCHES,PATCHES_LINKS,TITLE,LEVEL,vun_type,URL,Update_Time
1,null,CNNVD-201908-526,CVE-2019-10099,Apache Spark 加密问题漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=96225 ,Apache Spark 加密问题漏洞,高危,Apache Spark,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201908-526,2019-08-14
2,null,CNNVD-201901-1040,CVE-2018-11760,Apache Spark 权限许可和访问控制漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=89134 ,Apache Spark 访问控制错误漏洞,中危,Apache Spark,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201901-1040,2019-08-15
3,Apache Spark ,CNNVD-201811-597,CVE-2018-17190,,,Apache Spark 安全漏洞,超危,Apache Spark,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201811-597,2019-04-01
4,Apache Spark:2.3.1 Apache Spark:2.3.0 Apache Spark:2.2.1 Apache Spark:2.2.2 Apache Spark:2.2.0 ,CNNVD-201810-1217,CVE-2018-11804,Apache Spark 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=86306 ,Apache Spark 安全漏洞,中危,Apache Spark,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201810-1217,2018-10-25
5,null,CNNVD-201808-334,CVE-2018-11770,,,Apache Spark 安全漏洞,中危,Apache Spark,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201808-334,2018-08-14
6,Apache Spark:2.3.0 Apache Spark:2.1.2 ,CNNVD-201807-1140,CVE-2018-1334,Apache Spark 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=82133 ,Apache Spark 安全漏洞,低危,Apache Spark,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1140,2018-07-13
7,Mozilla Firefox:- ,CNNVD-201807-1139,CVE-2018-8024,Apache Spark 跨站脚本漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=82132 ,Apache Spark 信息泄露漏洞,中危,Apache Spark,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1139,2019-04-01
8,Apache Spark:2.0.0 Apache Spark:1.6.3 Apache Spark:1.6.0 Apache Spark:1.6.1 Apache Spark:1.6.2 ,CNNVD-201709-583,CVE-2017-12612,Apache Spark 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=74859 ,Apache Spark 安全漏洞,高危,Apache Spark,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201709-583,2017-09-18
9,Apache Spark:2.1.1 ,CNNVD-201704-573,CVE-2017-7678,,,Apache Spark 安全漏洞,中危,Apache Spark,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201704-573,2017-07-13
10,Netty_project Netty:4.1 Netty_project Netty:4.0.36 Netty_project Netty:4.0.35 Netty_project Netty:4.0.34 Netty_project Netty:4.0.33 ,CNNVD-201703-146,CVE-2016-4970,IBM Development Package for Apache Spark 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=67954 ,IBM Development Package for Apache Spark 安全漏洞,高危,Apache Spark,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201703-146,2017-03-07
