ID,AFFECTED_VERSION,CNNVD_ID,CVE_ID,PATCHES,PATCHES_LINKS,TITLE,LEVEL,vun_type,URL,Update_Time
1,null,CNNVD-201908-579,CVE-2019-12397,Apache Ranger 跨站请求伪造漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=96274 ,Apache Ranger 跨站脚本漏洞,中危,Apache ranger,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201908-579,2019-08-19
2,Apache Ranger:0.6.0 Apache Ranger:0.5.3 Apache Ranger:0.5.2 Apache Ranger:0.5.1 Apache Ranger:0.5.0 ,CNNVD-201810-226,CVE-2018-11778,Apache Ranger 缓冲区错误漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=86126 ,Apache Ranger 缓冲区错误漏洞,中危,Apache ranger,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201810-226,2018-10-16
3,Apache Ranger:0.5.3 ,CNNVD-201706-603,CVE-2016-8751,Apache Ranger 跨站脚本漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=70999 ,Apache Ranger 跨站脚本漏洞,中危,Apache ranger,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201706-603,2019-03-04
4,Apache Ranger:0.7.0 ,CNNVD-201704-575,CVE-2017-7676,,,Apache Ranger Policy resource matcher 输入验证漏洞,高危,Apache ranger,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201704-575,2017-07-04
5,Apache Ranger:0.7.0 ,CNNVD-201704-574,CVE-2017-7677,,,Apache Ranger Hive Authorizer 安全漏洞,中危,Apache ranger,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201704-574,2017-07-04
6,Apache Ranger:0.6.2 ,CNNVD-201702-210,CVE-2016-8746,Apache Ranger 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=67514 ,Apache Ranger 安全漏洞,中危,Apache ranger,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201702-210,2017-07-04
7,Apache Ranger:0.4.0 Apache Ranger:0.6.0 Apache Ranger:0.6.1 Apache Ranger:0.5.3 Apache Ranger:0.5.2 ,CNNVD-201611-322,CVE-2016-6815,Apache Ranger 本地提权漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=65690 ,Apache Ranger 信任管理漏洞,中危,Apache ranger,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201611-322,2017-11-10
8,Apache Ranger:0.5.2 Apache Ranger:0.5.3 Apache Ranger:0.6.0 Apache Ranger:0.5.1 Apache Ranger:0.5.0 ,CNNVD-201608-417,CVE-2016-5395,Apache Ranger HTML注入漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=63746 ,Apache Ranger HTML注入漏洞,低危,Apache ranger,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201608-417,2016-09-27
9,Apache Ranger:0.5.2 Apache Ranger:0.5.1 Apache Ranger:0.5.0 ,CNNVD-201606-011,CVE-2016-2174,Apache Ranger SQL注入漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=62037 ,Apache Ranger SQL注入漏洞,中危,Apache ranger,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201606-011,2016-06-14
10,Apache Ranger:0.5.1 Apache Ranger:0.5.0 ,CNNVD-201603-405,CVE-2016-0735,Apache Ranger 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=60708 ,Apache Ranger 安全漏洞,中危,Apache ranger,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201603-405,2016-04-12
11,Apache Ranger:0.5.0 ,CNNVD-201602-365,CVE-2016-0733,Apache Ranger 身份验证绕过漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=60280 ,Apache Ranger 身份验证绕过漏洞,高危,Apache ranger,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201602-365,2016-04-13
12,Apache Ranger:0.5.0 ,CNNVD-201602-364,CVE-2015-5167,Apache Ranger 安全绕过漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=60279 ,Apache Ranger 安全绕过漏洞,中危,Apache ranger,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201602-364,2016-04-13
13,Apache Ranger:0.4.0 ,CNNVD-201508-124,CVE-2015-0265,,,Apache Ranger Policy Admin Tool 跨站脚本漏洞,中危,Apache ranger,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201508-124,2016-04-12
14,Apache Ranger:0.4.0. ,CNNVD-201508-123,CVE-2015-0266,,,Apache Ranger Policy Admin Tool 访问绕过漏洞,中危,Apache ranger,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201508-123,2016-04-12
