ID,AFFECTED_VERSION,CNNVD_ID,CVE_ID,PATCHES,PATCHES_LINKS,TITLE,LEVEL,vun_type,URL,Update_Time
1,null,CNNVD-201905-1108,CVE-2018-8029,Apache Hadoop 权限许可和访问控制问题漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=93046 ,Apache Hadoop 权限许可和访问控制问题漏洞,高危,Apache Hadoop,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201905-1108,2019-06-05
2,null,CNNVD-201903-626,CVE-2018-11767,Apache Hadoop 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=90190 ,Apache Hadoop 访问控制错误漏洞,高危,Apache Hadoop,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201903-626,2019-04-01
3,null,CNNVD-201901-1027,CVE-2018-1296,Apache Hadoop 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=89056 ,Apache Hadoop 信息泄露漏洞,高危,Apache Hadoop,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201901-1027,2019-08-15
4,null,CNNVD-201812-716,CVE-2016-6811,Apache Hadoop 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=87939 ,Apache Hadoop 安全漏洞,高危,Apache Hadoop,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201812-716,2018-12-17
5,null,CNNVD-201811-748,CVE-2018-11766,Apache Hadoop 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=87010 ,Apache Hadoop 安全漏洞,超危,Apache Hadoop,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201811-748,2018-11-28
6,Apache Hadoop:0.23.0 Apache Hadoop:0.23.1 Apache Hadoop:0.23.3 Apache Hadoop:0.23.4 Apache Hadoop:0.23.5 ,CNNVD-201811-426,CVE-2018-8009,Apache Hadoop 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=86834 ,Apache Hadoop 安全漏洞,中危,Apache Hadoop,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201811-426,2018-11-14
7,Apache Hadoop:2.6.1 Apache Hadoop:2.6.2 Apache Hadoop:2.6.3 Apache Hadoop:2.6.4 Apache Hadoop:2.6.5 ,CNNVD-201711-385,CVE-2017-3166,Apache Hadoop 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=76253 ,Apache Hadoop 安全漏洞,中危,Apache Hadoop,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201711-385,2017-11-15
8,Apache Hadoop:2.0.2:Alpha Apache Hadoop:2.0.1:Alpha Apache Hadoop:2.0.0:Alpha Apache Hadoop:1.0.3 Apache Hadoop:1.0.2 ,CNNVD-201710-1235,CVE-2012-4449,Apache Hadoop 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=76023 ,Apache Hadoop 安全漏洞,高危,Apache Hadoop,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201710-1235,2017-11-02
9,Apache Hadoop:3.0.0:Beta1 Apache Hadoop:3.0.0:Alpha4 Apache Hadoop:3.0.0:Alpha3 Apache Hadoop:3.0.0:Alpha2 Apache Hadoop:2.7.2 ,CNNVD-201710-1013,CVE-2017-15713,,,Apache Hadoop 安全漏洞,中危,Apache Hadoop,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201710-1013,2018-01-23
10,Apache Hadoop:2.7.3 Apache Hadoop:2.7.4 ,CNNVD-201710-1008,CVE-2017-15718,,,Apache Hadoop YARN NodeManager 安全漏洞,中危,Apache Hadoop,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201710-1008,2018-01-25
11,Apache Hadoop:2.8.0 Apache Hadoop:3.0.0:Alpha1 Apache Hadoop:3.0.0:Alpha2 ,CNNVD-201706-081,CVE-2017-7669,Apache Hadoop 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=70746 ,Apache Hadoop 安全漏洞,高危,Apache Hadoop,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201706-081,2017-06-05
12,Apache Hadoop:2.6.5 ,CNNVD-201704-1445,CVE-2017-3161,Apache Hadoop 跨站脚本漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=69675 ,Apache Hadoop 跨站脚本漏洞,中危,Apache Hadoop,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201704-1445,2017-04-27
13,Apache Hadoop:2.6.5 ,CNNVD-201704-1444,CVE-2017-3162,Apache Hadoop 输入验证漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=69674 ,Apache Hadoop 输入验证漏洞,高危,Apache Hadoop,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201704-1444,2017-04-27
14,Cloudera Cdh:5.0.0 Cloudera Cdh:5.0.0:Beta2 Cloudera Cdh:5.0.0:Beta ,CNNVD-201703-1044,CVE-2014-0229,Cloudera CDH Apache Hadoop 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=68730 ,Cloudera CDH Apache Hadoop 安全漏洞,中危,Apache Hadoop,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201703-1044,2017-03-28
