ID,AFFECTED_VERSION,CNNVD_ID,CVE_ID,PATCHES,PATCHES_LINKS,TITLE,LEVEL,vun_type,URL,Update_Time
1,null,CNNVD-201908-1127,CVE-2018-14669,ClickHouse MySQL client 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=96789 ,ClickHouse MySQL client 安全漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201908-1127,2019-08-16
2,null,CNNVD-201908-665,CVE-2019-14939,,,mysql for Node.js 安全漏洞,低危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201908-665,2019-08-12
3,null,CNNVD-201907-1068,CVE-2019-1010259,SaltStack Salt MySQL模块SQL注入漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=95325 ,SaltStack Salt MySQL模块SQL注入漏洞,超危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-1068,2019-08-15
4,null,CNNVD-201907-992,CVE-2019-2752,Oracle MySQL Server组件安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=95028 ,Oracle MySQL Server组件访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-992,2019-08-16
5,null,CNNVD-201907-990,CVE-2019-2780,Oracle MySQL Server组件安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=95026 ,Oracle MySQL Server组件输入验证错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-990,2019-08-16
6,null,CNNVD-201907-989,CVE-2019-2789,Oracle MySQL Server组件安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=95025 ,Oracle MySQL Server组件输入验证错误漏洞,低危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-989,2019-08-16
7,null,CNNVD-201907-988,CVE-2019-2784,Oracle MySQL Server组件安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=95024 ,Oracle MySQL Server组件输入验证错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-988,2019-08-16
8,null,CNNVD-201907-987,CVE-2019-2785,Oracle MySQL Server组件安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=95023 ,Oracle MySQL Server组件访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-987,2019-08-16
9,null,CNNVD-201907-986,CVE-2019-2796,Oracle MySQL Server组件安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=95022 ,Oracle MySQL Server组件输入验证错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-986,2019-08-16
10,null,CNNVD-201907-984,CVE-2019-2795,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=95020 ,Oracle MySQL Server组件输入验证错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-984,2019-08-16
