ID,AFFECTED_VERSION,CNNVD_ID,CVE_ID,PATCHES,PATCHES_LINKS,TITLE,LEVEL,vun_type,URL,Update_Time
1,null,CNNVD-201907-660,CVE-2019-10193,Redis hyperloglog data structure 缓冲区错误漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=95199 ,Redis hyperloglog data structure 缓冲区错误漏洞,高危,Redis,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-660,2019-07-23
2,null,CNNVD-201907-562,CVE-2019-10192,,,Redis Labs Redis hyperloglog 缓冲区错误漏洞,高危,Redis,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-562,2019-07-26
3,Microsoft Windows:- ,CNNVD-201806-1314,CVE-2018-0599,,,Microsoft Visual C++ Redistributable installer 安全漏洞,超危,Redis,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201806-1314,2018-06-27
4,Redislabs Redis:5.0:Rc1 Redislabs Redis:4.0.9 Redislabs Redis:4.0.8 Redislabs Redis:4.0.7 Redislabs Redis:4.0.5 ,CNNVD-201806-943,CVE-2018-12326,Redis redis-cli 缓冲区错误漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=81049 ,Redis redis-cli 缓冲区错误漏洞,中危,Redis,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201806-943,2019-07-29
5,Redislabs Redis:2.4.0:Rc2 Redislabs Redis:2.4.0:Rc3 Redislabs Redis:2.4.0:Rc4 Redislabs Redis:2.2.111 Redislabs Redis:2.4.0:Rc1 ,CNNVD-201806-928,CVE-2018-11218,Redis Lua子系统缓冲区错误漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=81042 ,Redis Lua子系统缓冲区错误漏洞,超危,Redis,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201806-928,2019-08-12
6,Redislabs Redis:2.8.14 Redislabs Redis:2.8.13 Redislabs Redis:2.8.12 Redislabs Redis:4.0.6 Redislabs Redis:4.0.7 ,CNNVD-201806-927,CVE-2018-11219,Redis Lua子系统数字错误漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=81041 ,Redis Lua子系统数字错误漏洞,超危,Redis,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201806-927,2019-08-12
7,Redislabs Redis:3.2.6 Redislabs Redis:3.2.7 Redislabs Redis:3.2.8 Redislabs Redis:2.8.0:Rc3 Redislabs Redis:2.8.0:Rc4 ,CNNVD-201806-945,CVE-2018-12453,Redis 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=81033 ,Redis 安全漏洞,中危,Redis,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201806-945,2018-06-20
8,Redis-Srvr_project Redis-Srvr:-:~~~Node.Js~~ ,CNNVD-201806-260,CVE-2016-10639,,,redis-srvr 安全漏洞,超危,Redis,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201806-260,2018-06-07
9,Cloudpub-Redis_project Cloudpub-Redis:2.4.5:~~~Node.Js~~ ,CNNVD-201806-231,CVE-2016-10672,,,cloudpub-redis 安全漏洞,超危,Redis,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201806-231,2018-06-07
10,Redis-Store Redis-Store:1.3.0 ,CNNVD-201711-745,CVE-2017-1000248,Redis-store 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=76744 ,Redis-store 安全漏洞,高危,Redis,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201711-745,2017-11-27
